[09/Jan/2020 22:11:30] INFO [django.utils.autoreload:598] Watching for file changes with StatReloader
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:286] Waiting for apps ready_event.
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:297] Apps ready_event triggered. Sending autoreload_started signal.
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\hunte\django\hckrieger\locale with glob **/*.mo.
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\hunte\django\hckrieger\hckrieger\locale with glob **/*.mo.
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\hunte\django\hckrieger\venv\lib\site-packages\django\contrib\admin\locale with glob **/*.mo.
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\hunte\django\hckrieger\venv\lib\site-packages\django\contrib\auth\locale with glob **/*.mo.
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\hunte\django\hckrieger\venv\lib\site-packages\django\contrib\contenttypes\locale with glob **/*.mo.
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\hunte\django\hckrieger\venv\lib\site-packages\django\contrib\sessions\locale with glob **/*.mo.
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\hunte\django\hckrieger\venv\lib\site-packages\django\contrib\messages\locale with glob **/*.mo.
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:252] Watching dir C:\Users\hunte\django\hckrieger\venv\lib\site-packages\django\contrib\staticfiles\locale with glob **/*.mo.
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\selectors.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\hashlib.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\genericpath.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\contrib\messages\api.py first seen with mtime 1578010900.0631704
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\template\__init__.py first seen with mtime 1578010906.6236315
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\ssl.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\db\backends\base\base.py first seen with mtime 1578010905.9275115
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\email\generator.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\db\models\signals.py first seen with mtime 1578010906.2125561
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1578010908.046285
